Date,Temperature.C,Weight.g,Cons.inverts.g,Cons.fish.g,Cum.Cons.g
3/1/2021,0.21,503.96,0.02,0,0.02
3/2/2021,0.39,503.52,0.02,0,0.04
3/3/2021,1.06,503.05,0.03,0,0.07
3/4/2021,1.3,502.57,0.03,0,0.1
3/5/2021,1.46,502.08,0.03,0,0.13
3/6/2021,1.75,501.58,0.04,0,0.18
3/7/2021,2.36,501.05,0.05,0.01,0.23
3/8/2021,2.98,500.49,0.07,0.01,0.31
3/9/2021,3.72,499.91,0.11,0.01,0.43
3/10/2021,4.54,499.3,0.16,0.02,0.61
3/11/2021,4.69,498.68,0.18,0.02,0.81
3/12/2021,4.75,498.06,0.18,0.02,1.01
3/13/2021,5.02,497.43,0.21,0.02,1.25
3/14/2021,5.29,496.81,0.24,0.03,1.52
3/15/2021,5.53,496.18,0.28,0.03,1.82
3/16/2021,5.85,495.54,0.33,0.04,2.19
3/17/2021,5.89,494.91,0.33,0.04,2.56
3/18/2021,5.88,494.28,0.33,0.04,2.92
3/19/2021,6.23,493.65,0.4,0.04,3.36
3/20/2021,6.56,493.04,0.47,0.05,3.88
3/21/2021,6.76,492.42,0.52,0.06,4.46
3/22/2021,7.18,491.84,0.65,0.07,5.18
3/23/2021,7.21,491.25,0.65,0.07,5.91
3/24/2021,6.93,490.65,0.57,0.06,6.54
3/25/2021,6.75,490.04,0.52,0.06,7.11
3/26/2021,6.39,489.42,0.43,0.05,7.59
3/27/2021,6.64,488.81,0.49,0.05,8.13
3/28/2021,7.04,488.21,0.6,0.07,8.8
3/29/2021,7.14,487.63,0.63,0.07,9.49
3/30/2021,7.29,487.05,0.68,0.08,10.25
3/31/2021,7.59,486.5,0.79,0.09,11.13
4/1/2021,7.6,485.95,0.79,0.09,12.01
4/2/2021,8.29,485.5,1.12,0.12,13.25
4/3/2021,8.34,485.05,1.15,0.13,14.53
4/4/2021,8.47,484.63,1.22,0.14,15.88
4/5/2021,8.71,484.25,1.37,0.15,17.41
4/6/2021,9.03,483.95,1.6,0.18,19.19
4/7/2021,9.42,483.77,1.92,0.21,21.32
4/8/2021,9.46,483.59,1.96,0.22,23.49
4/9/2021,9.11,483.32,1.66,0.18,25.34
4/10/2021,8.85,482.97,1.47,0.16,26.97
4/11/2021,8.62,482.58,1.31,0.15,28.43
4/12/2021,8.47,482.16,1.22,0.14,29.78
4/13/2021,8.11,481.68,1.02,0.11,30.91
4/14/2021,8.05,481.19,0.99,0.11,32.01
4/15/2021,7.94,480.68,0.94,0.1,33.05
4/16/2021,8.31,480.23,1.12,0.12,34.29
4/17/2021,8.78,479.87,1.41,0.16,35.86
4/18/2021,9.42,479.69,1.91,0.21,37.97
4/19/2021,10.23,479.81,2.74,0.3,41.02
4/20/2021,10.45,480.04,3.01,0.33,44.36
4/21/2021,10.56,480.34,3.16,0.35,47.88
4/22/2021,10.6,480.64,3.21,0.36,51.44
4/23/2021,10.52,480.91,3.11,0.35,54.9
4/24/2021,10.03,480.95,2.52,0.28,57.7
4/25/2021,9.66,480.85,2.14,0.24,60.08
4/26/2021,9.91,480.84,2.39,0.27,62.73
4/27/2021,10.1,480.91,2.59,0.29,65.61
4/28/2021,10.09,480.98,2.58,0.29,68.48
4/29/2021,10,481.01,2.49,0.28,71.25
4/30/2021,10.05,481.06,2.54,0.28,74.08
5/1/2021,9.98,481.07,2.46,0.27,76.81
5/2/2021,10.25,481.21,2.77,0.31,79.89
5/3/2021,10.82,481.64,3.51,0.39,83.8
5/4/2021,11.66,482.6,4.83,0.54,89.17
5/5/2021,12.05,483.83,5.53,0.61,95.31
5/6/2021,12.06,485.08,5.56,0.62,101.49
5/7/2021,11.24,485.77,4.17,0.46,106.13
5/8/2021,10.68,486.12,3.35,0.37,109.85
5/9/2021,10.56,486.42,3.19,0.35,113.4
5/10/2021,10.41,486.64,3,0.33,116.74
5/11/2021,10.44,486.87,3.04,0.34,120.11
5/12/2021,10.78,487.28,3.5,0.39,124
5/13/2021,11.11,487.89,3.99,0.44,128.42
5/14/2021,11.13,488.51,4.02,0.45,132.89
5/15/2021,11.31,489.25,4.32,0.48,137.68
5/16/2021,11.29,489.97,4.29,0.48,142.45
5/17/2021,11.16,490.61,4.09,0.45,146.99
5/18/2021,11.09,491.21,3.97,0.44,151.4
5/19/2021,10.99,491.75,3.83,0.43,155.65
5/20/2021,10.55,492.04,3.21,0.36,159.22
5/21/2021,10.28,492.2,2.86,0.32,162.4
5/22/2021,10.36,492.39,2.96,0.33,165.68
5/23/2021,10.53,492.67,3.18,0.35,169.22
5/24/2021,10.61,493,3.29,0.37,172.87
5/25/2021,11.18,493.65,4.13,0.46,177.47
5/26/2021,11.67,494.64,4.95,0.55,182.96
5/27/2021,11.92,495.81,5.41,0.6,188.97
5/28/2021,12.49,497.42,6.47,0.72,196.17
5/29/2021,13.07,499.48,7.61,0.85,204.63
5/30/2021,13.59,501.94,8.64,0.96,214.22
5/31/2021,13.57,504.4,8.63,0.96,223.81
