Date,Temperature.C,Weight.g,Cons.inverts.g,Cons.fish.g,Cum.Cons.g
3/1/21,0.21,430.31,0,0,0
3/2/21,0.39,429.92,0,0,0.01
3/3/21,1.06,429.49,0,0.01,0.02
3/4/21,1.3,429.06,0,0.01,0.03
3/5/21,1.46,428.63,0,0.01,0.04
3/6/21,1.75,428.18,0,0.01,0.05
3/7/21,2.36,427.71,0,0.01,0.06
3/8/21,2.98,427.21,0.01,0.02,0.08
3/9/21,3.72,426.69,0.01,0.02,0.12
3/10/21,4.54,426.14,0.01,0.03,0.17
3/11/21,4.69,425.59,0.02,0.04,0.22
3/12/21,4.75,425.04,0.02,0.04,0.28
3/13/21,5.02,424.48,0.02,0.04,0.34
3/14/21,5.29,423.92,0.02,0.05,0.41
3/15/21,5.53,423.36,0.02,0.06,0.5
3/16/21,5.85,422.79,0.03,0.07,0.59
3/17/21,5.89,422.23,0.03,0.07,0.69
3/18/21,5.88,421.66,0.03,0.07,0.79
3/19/21,6.23,421.11,0.04,0.08,0.91
3/20/21,6.56,420.55,0.04,0.1,1.05
3/21/21,6.76,420.01,0.05,0.11,1.21
3/22/21,7.18,419.48,0.06,0.14,1.41
3/23/21,7.21,418.96,0.06,0.14,1.6
3/24/21,6.93,418.42,0.05,0.12,1.78
3/25/21,6.75,417.88,0.05,0.11,1.93
3/26/21,6.39,417.33,0.04,0.09,2.06
3/27/21,6.64,416.78,0.04,0.1,2.21
3/28/21,7.04,416.25,0.05,0.13,2.39
3/29/21,7.14,415.73,0.06,0.13,2.58
3/30/21,7.29,415.21,0.06,0.14,2.78
3/31/21,7.59,414.72,0.07,0.17,3.02
4/1/21,7.6,414.23,0.07,0.17,3.26
4/2/21,8.29,413.83,0.1,0.24,3.6
4/3/21,8.34,413.43,0.1,0.24,3.94
4/4/21,8.47,413.05,0.11,0.26,4.31
4/5/21,8.71,412.71,0.12,0.29,4.72
4/6/21,9.03,412.45,0.14,0.34,5.21
4/7/21,9.42,412.28,0.17,0.4,5.78
4/8/21,9.46,412.13,0.18,0.41,6.37
4/9/21,9.11,411.88,0.15,0.35,6.88
4/10/21,8.85,411.58,0.13,0.31,7.32
4/11/21,8.62,411.23,0.12,0.28,7.71
4/12/21,8.47,410.85,0.11,0.26,8.08
4/13/21,8.11,410.42,0.09,0.21,8.39
4/14/21,8.05,409.98,0.09,0.21,8.68
4/15/21,7.94,409.53,0.08,0.2,8.97
4/16/21,8.31,409.13,0.1,0.24,9.3
4/17/21,8.78,408.81,0.13,0.3,9.73
4/18/21,9.42,408.64,0.17,0.4,10.3
4/19/21,10.23,408.76,0.25,0.58,11.13
4/20/21,10.45,408.96,0.27,0.64,12.03
4/21/21,10.56,409.22,0.29,0.67,12.99
4/22/21,10.6,409.5,0.29,0.68,13.95
4/23/21,10.52,409.74,0.28,0.66,14.89
4/24/21,10.03,409.77,0.23,0.53,15.65
4/25/21,9.66,409.68,0.19,0.45,16.29
4/26/21,9.91,409.67,0.22,0.5,17.01
4/27/21,10.1,409.74,0.23,0.55,17.8
4/28/21,10.09,409.79,0.23,0.54,18.57
4/29/21,10,409.82,0.23,0.53,19.32
4/30/21,10.05,409.86,0.23,0.54,20.09
5/1/21,9.98,409.88,0.22,0.52,20.83
5/2/21,10.25,410,0.25,0.58,21.67
5/3/21,10.82,410.38,0.32,0.74,22.73
5/4/21,11.66,411.24,0.44,1.02,24.18
5/5/21,12.05,412.34,0.5,1.17,25.85
5/6/21,12.06,413.45,0.5,1.17,27.52
5/7/21,11.24,414.07,0.38,0.88,28.78
5/8/21,10.68,414.38,0.3,0.71,29.79
5/9/21,10.56,414.65,0.29,0.67,30.75
5/10/21,10.41,414.84,0.27,0.63,31.66
5/11/21,10.44,415.05,0.27,0.64,32.58
5/12/21,10.78,415.42,0.32,0.74,33.63
5/13/21,11.11,415.96,0.36,0.84,34.83
5/14/21,11.13,416.51,0.36,0.85,36.04
5/15/21,11.31,417.17,0.39,0.91,37.34
5/16/21,11.29,417.82,0.39,0.9,38.64
5/17/21,11.16,418.39,0.37,0.86,39.87
5/18/21,11.09,418.92,0.36,0.84,41.06
5/19/21,10.99,419.4,0.35,0.81,42.22
5/20/21,10.55,419.66,0.29,0.68,43.19
5/21/21,10.28,419.8,0.26,0.6,44.05
5/22/21,10.36,419.98,0.27,0.62,44.94
5/23/21,10.53,420.23,0.29,0.67,45.9
5/24/21,10.61,420.52,0.3,0.69,46.89
5/25/21,11.18,421.1,0.37,0.87,48.14
5/26/21,11.67,421.98,0.45,1.04,49.63
5/27/21,11.92,423.03,0.49,1.14,51.26
5/28/21,12.49,424.46,0.59,1.37,53.22
5/29/21,13.07,426.3,0.69,1.61,55.51
5/30/21,13.59,428.5,0.78,1.82,58.12
5/31/21,13.57,430.7,0.78,1.82,60.72
