Date,Temperature.C,Weight.g,Cons.inverts.g,Cons.fish.g,Cum.Cons.g
3/1/21,0.21,430.31,0,0,0.01
3/2/21,0.39,429.92,0,0,0.01
3/3/21,1.06,429.49,0.01,0.01,0.02
3/4/21,1.3,429.06,0.01,0.01,0.04
3/5/21,1.46,428.63,0.01,0.01,0.05
3/6/21,1.75,428.18,0.01,0.01,0.06
3/7/21,2.36,427.71,0.01,0.01,0.08
3/8/21,2.98,427.21,0.01,0.01,0.11
3/9/21,3.72,426.69,0.02,0.02,0.15
3/10/21,4.54,426.14,0.03,0.03,0.22
3/11/21,4.69,425.59,0.03,0.03,0.29
3/12/21,4.75,425.04,0.04,0.04,0.36
3/13/21,5.02,424.48,0.04,0.04,0.44
3/14/21,5.29,423.92,0.05,0.05,0.54
3/15/21,5.53,423.36,0.05,0.05,0.64
3/16/21,5.85,422.79,0.06,0.06,0.77
3/17/21,5.89,422.23,0.07,0.07,0.9
3/18/21,5.88,421.66,0.06,0.06,1.03
3/19/21,6.23,421.11,0.08,0.08,1.19
3/20/21,6.56,420.55,0.09,0.09,1.37
3/21/21,6.76,420.01,0.1,0.1,1.58
3/22/21,7.18,419.48,0.13,0.13,1.83
3/23/21,7.21,418.96,0.13,0.13,2.09
3/24/21,6.93,418.42,0.11,0.11,2.31
3/25/21,6.75,417.88,0.1,0.1,2.51
3/26/21,6.39,417.33,0.08,0.08,2.68
3/27/21,6.64,416.78,0.1,0.1,2.87
3/28/21,7.04,416.25,0.12,0.12,3.11
3/29/21,7.14,415.73,0.12,0.12,3.36
3/30/21,7.29,415.21,0.13,0.13,3.62
3/31/21,7.59,414.72,0.16,0.16,3.93
4/1/21,7.6,414.23,0.16,0.16,4.24
4/2/21,8.29,413.83,0.22,0.22,4.68
4/3/21,8.34,413.43,0.22,0.22,5.13
4/4/21,8.47,413.05,0.24,0.24,5.61
4/5/21,8.71,412.71,0.27,0.27,6.15
4/6/21,9.03,412.45,0.31,0.31,6.78
4/7/21,9.42,412.28,0.38,0.38,7.53
4/8/21,9.46,412.13,0.38,0.38,8.3
4/9/21,9.11,411.88,0.33,0.33,8.95
4/10/21,8.85,411.58,0.29,0.29,9.53
4/11/21,8.62,411.23,0.26,0.26,10.04
4/12/21,8.47,410.85,0.24,0.24,10.52
4/13/21,8.11,410.42,0.2,0.2,10.92
4/14/21,8.05,409.98,0.19,0.19,11.31
4/15/21,7.94,409.53,0.18,0.18,11.67
4/16/21,8.31,409.13,0.22,0.22,12.11
4/17/21,8.78,408.81,0.28,0.28,12.66
4/18/21,9.42,408.64,0.37,0.37,13.41
4/19/21,10.23,408.76,0.54,0.54,14.49
4/20/21,10.45,408.96,0.59,0.59,15.67
4/21/21,10.56,409.22,0.62,0.62,16.91
4/22/21,10.6,409.5,0.63,0.63,18.17
4/23/21,10.52,409.74,0.61,0.61,19.39
4/24/21,10.03,409.77,0.49,0.49,20.38
4/25/21,9.66,409.68,0.42,0.42,21.21
4/26/21,9.91,409.67,0.47,0.47,22.15
4/27/21,10.1,409.74,0.51,0.51,23.17
4/28/21,10.09,409.79,0.51,0.51,24.18
4/29/21,10,409.82,0.49,0.49,25.16
4/30/21,10.05,409.86,0.5,0.5,26.16
5/1/21,9.98,409.88,0.48,0.48,27.12
5/2/21,10.25,410,0.54,0.54,28.21
5/3/21,10.82,410.38,0.69,0.69,29.59
5/4/21,11.66,411.24,0.95,0.95,31.49
5/5/21,12.05,412.34,1.09,1.09,33.66
5/6/21,12.06,413.45,1.09,1.09,35.84
5/7/21,11.24,414.07,0.82,0.82,37.47
5/8/21,10.68,414.38,0.66,0.66,38.79
5/9/21,10.56,414.65,0.63,0.63,40.04
5/10/21,10.41,414.84,0.59,0.59,41.22
5/11/21,10.44,415.05,0.6,0.6,42.41
5/12/21,10.78,415.42,0.69,0.69,43.79
5/13/21,11.11,415.96,0.78,0.78,45.35
5/14/21,11.13,416.51,0.79,0.79,46.93
5/15/21,11.31,417.17,0.85,0.85,48.62
5/16/21,11.29,417.82,0.84,0.84,50.3
5/17/21,11.16,418.39,0.8,0.8,51.91
5/18/21,11.09,418.92,0.78,0.78,53.47
5/19/21,10.99,419.4,0.75,0.75,54.97
5/20/21,10.55,419.66,0.63,0.63,56.23
5/21/21,10.28,419.8,0.56,0.56,57.35
5/22/21,10.36,419.98,0.58,0.58,58.52
5/23/21,10.53,420.23,0.62,0.62,59.76
5/24/21,10.61,420.52,0.65,0.65,61.06
5/25/21,11.18,421.1,0.81,0.81,62.68
5/26/21,11.67,421.98,0.97,0.97,64.62
5/27/21,11.92,423.03,1.06,1.06,66.75
5/28/21,12.49,424.46,1.27,1.27,69.29
5/29/21,13.07,426.3,1.5,1.5,72.28
5/30/21,13.59,428.5,1.7,1.7,75.67
5/31/21,13.57,430.7,1.69,1.69,79.06
