Date,Temperature.C,Weight.g,Cons.inverts.g,Cons.fish.g,Cum.Cons.g
9/15,14.73,673.57,11.3,1.26,12.55
9/16,14.36,676.44,10.7,1.19,24.44
9/17,14.07,679.13,10.2,1.13,35.78
9/18,13.96,681.76,10.04,1.12,46.93
9/19,13.86,684.32,9.87,1.1,57.9
9/20,13.63,686.72,9.44,1.05,68.38
9/21,13.2,688.79,8.59,0.95,77.92
9/22,13.2,690.87,8.61,0.96,87.49
9/23,13.4,693.11,9.04,1,97.54
9/24,13.22,695.22,8.7,0.97,107.2
9/25,12.85,697.02,7.92,0.88,116
9/26,12.85,698.83,7.94,0.88,124.82
9/27,13.02,700.78,8.32,0.92,134.07
9/28,12.96,702.69,8.2,0.91,143.18
9/29,12.42,704.15,7.06,0.78,151.02
9/30,11.91,705.2,6.03,0.67,157.72
10/1,11.56,705.97,5.33,0.59,163.65
10/2,11.44,706.66,5.11,0.57,169.33
10/3,11.24,707.21,4.76,0.53,174.62
10/4,10.73,707.42,3.89,0.43,178.94
10/5,10.4,707.45,3.4,0.38,182.72
10/6,10.66,707.63,3.79,0.42,186.93
10/7,10.79,707.88,3.99,0.44,191.36
10/8,10.58,708.01,3.67,0.41,195.43
10/9,10.32,707.99,3.28,0.36,199.07
10/10,9.58,707.65,2.36,0.26,201.7
10/11,8.99,707.11,1.8,0.2,203.69
10/12,8.02,706.38,1.11,0.12,204.93
10/13,7.64,705.6,0.92,0.1,205.95
10/14,7.53,704.81,0.87,0.1,206.92
10/15,7.78,704.05,0.98,0.11,208.01
10/16,7.91,703.3,1.05,0.12,209.18
10/17,8.23,702.61,1.23,0.14,210.55
10/18,8.34,701.93,1.3,0.14,211.99
10/19,8.39,701.26,1.33,0.15,213.47
10/20,8.33,700.58,1.29,0.14,214.91
10/21,8.23,699.88,1.23,0.14,216.27
10/22,8.22,699.19,1.22,0.14,217.63
10/23,8.13,698.47,1.17,0.13,218.93
10/24,7.69,697.71,0.93,0.1,219.97
10/25,7.24,696.9,0.74,0.08,220.79
10/26,7.23,696.1,0.74,0.08,221.61
10/27,7,695.28,0.65,0.07,222.34
10/28,6.83,694.46,0.6,0.07,223
10/29,6.48,693.63,0.5,0.06,223.56
10/30,6.42,692.8,0.48,0.05,224.1
10/31,5.85,691.97,0.36,0.04,224.5
11/1,5.19,691.16,0.25,0.03,224.78
11/2,5.12,690.35,0.24,0.03,225.05
11/3,5.15,689.53,0.25,0.03,225.32
11/4,5.24,688.72,0.26,0.03,225.61
11/5,5.43,687.9,0.29,0.03,225.93
11/6,5.46,687.09,0.29,0.03,226.25
11/7,5.29,686.27,0.26,0.03,226.55
11/8,4.42,685.5,0.17,0.02,226.73
11/9,3.46,684.77,0.1,0.01,226.84
11/10,3.42,684.04,0.1,0.01,226.95
11/11,3.46,683.32,0.1,0.01,227.06
11/12,3.23,682.6,0.09,0.01,227.16
11/13,3.14,681.9,0.08,0.01,227.26
11/14,3.54,681.17,0.1,0.01,227.37
11/15,4.03,680.41,0.13,0.01,227.52
11/16,4.19,679.65,0.15,0.02,227.68
11/17,3.79,678.91,0.12,0.01,227.82
11/18,3.22,678.2,0.09,0.01,227.91
11/19,2.87,677.51,0.07,0.01,227.99
11/20,2.73,676.83,0.07,0.01,228.07
11/21,2.38,676.17,0.06,0.01,228.13
11/22,1.92,675.54,0.04,0,228.18
11/23,1.97,674.9,0.04,0,228.23
11/24,2.23,674.25,0.05,0.01,228.29
11/25,2.02,673.61,0.05,0.01,228.34
11/26,1.62,673,0.04,0,228.38
11/27,1.6,672.39,0.04,0,228.42
11/28,1.87,671.76,0.04,0,228.46
11/29,2.08,671.12,0.05,0.01,228.52
11/30,1.73,670.5,0.04,0,228.56
