Date,Temperature.C,Weight.g,Cons.inverts.g,Cons.fish.g,Cum.Cons.g
9/15,14.73,673.57,1.15,2.67,3.82
9/16,14.36,676.44,1.08,2.53,7.43
9/17,14.07,679.13,1.03,2.41,10.88
9/18,13.96,681.76,1.02,2.37,14.27
9/19,13.86,684.32,1,2.33,17.61
9/20,13.63,686.72,0.96,2.23,20.79
9/21,13.2,688.79,0.87,2.03,23.69
9/22,13.2,690.87,0.87,2.04,26.6
9/23,13.4,693.11,0.92,2.14,29.66
9/24,13.22,695.22,0.88,2.06,32.6
9/25,12.85,697.02,0.8,1.87,35.27
9/26,12.85,698.83,0.8,1.88,37.96
9/27,13.02,700.78,0.84,1.97,40.77
9/28,12.96,702.69,0.83,1.94,43.54
9/29,12.42,704.15,0.72,1.67,45.92
9/30,11.91,705.2,0.61,1.43,47.96
10/1,11.56,705.97,0.54,1.26,49.76
10/2,11.44,706.66,0.52,1.21,51.49
10/3,11.24,707.21,0.48,1.13,53.1
10/4,10.73,707.42,0.39,0.92,54.41
10/5,10.4,707.45,0.34,0.8,55.56
10/6,10.66,707.63,0.38,0.9,56.84
10/7,10.79,707.88,0.4,0.94,58.19
10/8,10.58,708.01,0.37,0.87,59.43
10/9,10.32,707.99,0.33,0.78,60.53
10/10,9.58,707.65,0.24,0.56,61.33
10/11,8.99,707.11,0.18,0.42,61.94
10/12,8.02,706.38,0.11,0.26,62.31
10/13,7.64,705.6,0.09,0.22,62.62
10/14,7.53,704.81,0.09,0.21,62.92
10/15,7.78,704.05,0.1,0.23,63.25
10/16,7.91,703.3,0.11,0.25,63.61
10/17,8.23,702.61,0.13,0.29,64.02
10/18,8.34,701.93,0.13,0.31,64.46
10/19,8.39,701.26,0.13,0.31,64.91
10/20,8.33,700.58,0.13,0.31,65.35
10/21,8.23,699.88,0.12,0.29,65.76
10/22,8.22,699.19,0.12,0.29,66.18
10/23,8.13,698.47,0.12,0.28,66.57
10/24,7.69,697.71,0.09,0.22,66.89
10/25,7.24,696.9,0.08,0.18,67.14
10/26,7.23,696.1,0.07,0.17,67.39
10/27,7,695.28,0.07,0.15,67.61
10/28,6.83,694.46,0.06,0.14,67.81
10/29,6.48,693.63,0.05,0.12,67.98
10/30,6.42,692.8,0.05,0.11,68.14
10/31,5.85,691.97,0.04,0.08,68.26
11/1,5.19,691.16,0.03,0.06,68.35
11/2,5.12,690.35,0.02,0.06,68.43
11/3,5.15,689.53,0.03,0.06,68.52
11/4,5.24,688.72,0.03,0.06,68.6
11/5,5.43,687.9,0.03,0.07,68.7
11/6,5.46,687.09,0.03,0.07,68.8
11/7,5.29,686.27,0.03,0.06,68.89
11/8,4.42,685.5,0.02,0.04,68.94
11/9,3.46,684.77,0.01,0.02,68.98
11/10,3.42,684.04,0.01,0.02,69.01
11/11,3.46,683.32,0.01,0.02,69.04
11/12,3.23,682.6,0.01,0.02,69.07
11/13,3.14,681.9,0.01,0.02,69.1
11/14,3.54,681.17,0.01,0.02,69.14
11/15,4.03,680.41,0.01,0.03,69.18
11/16,4.19,679.65,0.01,0.03,69.23
11/17,3.79,678.91,0.01,0.03,69.27
11/18,3.22,678.2,0.01,0.02,69.3
11/19,2.87,677.51,0.01,0.02,69.33
11/20,2.73,676.83,0.01,0.02,69.35
11/21,2.38,676.17,0.01,0.01,69.37
11/22,1.92,675.54,0,0.01,69.38
11/23,1.97,674.9,0,0.01,69.4
11/24,2.23,674.25,0.01,0.01,69.42
11/25,2.02,673.61,0,0.01,69.43
11/26,1.62,673,0,0.01,69.44
11/27,1.6,672.39,0,0.01,69.46
11/28,1.87,671.76,0,0.01,69.47
11/29,2.08,671.12,0,0.01,69.49
11/30,1.73,670.5,0,0.01,69.5
